Second,Latency,Throughput,Loss,CongestionWindow,RTT,SendingRate
0,,0,0,,,
1,,0,0,,,
2,,0,0,,,
3,,0,0,,,
4,,0,0,,,
5,0.026162420000348772,142,0,9356.42857142857,,142.0
6,0.00028762174904587226,5011565,0,251.0,,5011565.0
7,0.0002173749341078114,6650664,0,251.0,,6650664.0
8,0.00015429843408101037,9349736,0,251.0,,9349736.0
9,0.0001451207208362295,9931832,0,251.0,,9931832.0
10,0.00015239186819360112,9388832,0,251.0,,9388832.0
11,0.0001363050165090334,10586328,0,251.0,,10586328.0
12,0.0001300903582497884,11032312,0,251.0,,11032312.0
13,0.0001368057954770182,10566056,0,251.0,,10566056.0
14,0.00014432381509288345,10020160,0,251.0,,10020160.0
15,0.0001427088953940941,10133104,0,251.0,,10133104.0
16,0.00014136718747838394,10217088,0,251.0,,10217088.0
17,0.00013239651798723214,10809320,0,251.0,,10809320.0
18,0.00014063461767082708,10199712,0,251.0,,10199712.0
19,0.00013637620915999077,10590672,0,251.0,,10590672.0
20,0.00013436605942824438,10768776,0,251.0,,10768776.0
21,0.00013586057803854944,10638456,0,251.0,,10638456.0
22,0.00013340604668050544,10844072,0,251.0,,10844072.0
23,0.0001376099078624613,10474832,0,251.0,,10474832.0
24,0.0001706846575504097,8446184,0,251.0,,8446184.0
25,0.0001329061065850349,10758640,0,251.0,,10758640.0
26,0.00013878877046769614,10366232,0,251.0,,10366232.0
27,0.00015914233280127832,9090544,0,251.0,,9090544.0
28,0.00013993014378756613,10337272,0,251.0,,10337272.0
29,0.00014200982373936772,10183784,0,251.0,,10183784.0
30,0.00013746163675938395,10486416,0,251.0,,10486416.0
31,0.0001316640285811451,10816560,0,251.0,,10816560.0
32,0.00014091106729769925,10254736,0,251.0,,10254736.0
33,0.00013769728227669883,10479176,0,251.0,,10479176.0
34,0.00013403889297392625,10716648,0,251.0,,10716648.0
35,0.00014748213492549528,9800064,0,251.0,,9800064.0
36,0.00013067024646942586,11067064,0,251.0,,11067064.0
37,0.00013482528073447092,10537096,0,251.0,,10537096.0
38,0.0001389764388646289,10370576,0,251.0,,10370576.0
39,0.00014449551727400823,10007128,0,251.0,,10007128.0
40,0.00014116551019468333,10188128,0,251.0,,10188128.0
41,0.00014142436670733948,10224328,0,251.0,,10224328.0
42,0.00015197491268751975,9517704,0,251.0,,9517704.0
43,0.00016332330938998907,8858864,0,251.0,,8858864.0
44,0.00014966300043922203,9632096,0,251.0,,9632096.0
45,0.00014379811675185376,10044776,0,251.0,,10044776.0
46,0.00014806044506083735,9769656,0,251.0,,9769656.0
47,0.00013623677316259165,10593568,0,251.0,,10593568.0
48,0.00015401414330237472,9317880,0,251.0,,9317880.0
49,0.00014908270168561652,9658160,0,251.0,,9658160.0
50,0.0001377161892929616,10453112,0,251.0,,10453112.0
51,0.00015701068079023827,9209280,0,251.0,,9209280.0
52,0.000136748977072234,10499448,0,251.0,,10499448.0
53,0.00015553400183685576,9257064,0,251.0,,9257064.0
54,0.000149979555517211,9624856,0,251.0,,9624856.0
55,0.00016737560684685742,8619944,0,251.0,,8619944.0
56,0.00015327450087683036,9395840,0,251.0,,9395840.0
57,0.0001554799648177347,9288920,0,251.0,,9288920.0
58,0.00015675314845823435,9226656,0,251.0,,9226656.0
59,0.00016837924688743315,8593880,0,251.0,,8593880.0
60,0.00015461880086672187,9354080,0,251.0,,9354080.0
61,0.00016164440235555552,8844384,0,251.0,,8844384.0
62,0.0001679003559133058,8614152,0,251.0,,8614152.0
63,0.000163973737988169,8815424,0,251.0,,8815424.0
64,0.00017705761256072943,8089976,0,251.0,,8089976.0
65,0.00017913471724870225,8034952,0,251.0,,8034952.0
66,0.00016420705515109038,8808184,0,251.0,,8808184.0
67,0.00018320638550378793,7848160,0,251.0,,7848160.0
68,0.00019992296875512798,7234208,0,251.0,,7234208.0
69,0.00020029581672045306,7212488,0,251.0,,7212488.0
70,0.00020033572985377122,7216832,0,251.0,,7216832.0
71,0.000226902193336989,6375544,0,251.0,,6375544.0
72,0.0002053479864075397,7041624,0,251.0,,7041624.0
73,0.00021573639293127612,6586952,0,251.0,,6586952.0
74,0.000247237929614039,5651544,0,251.0,,5651544.0
75,0.0002469300096059338,5813720,0,251.0,,5813720.0
76,0.0002320407019524041,6226400,0,251.0,,6226400.0
77,0.00018021401487343242,8027712,0,251.0,,8027712.0
78,0.00024007117911560894,5916528,0,251.0,,5916528.0
79,0.0002464243582078627,5794896,0,251.0,,5794896.0
80,0.0002318411229926849,6194544,0,251.0,,6194544.0
81,0.0002617471208559655,5419864,0,251.0,,5419864.0
82,0.00025895558099969654,5509640,0,251.0,,5509640.0
83,0.0002588448655030252,5548736,0,251.0,,5548736.0
84,0.0002629014929700613,5498056,0,251.0,,5498056.0
85,0.00024613597337041414,5852816,0,251.0,,5852816.0
86,0.0002602840938543117,5521224,0,251.0,,5521224.0
87,0.0002494402203695842,5786208,0,251.0,,5786208.0
88,0.00017112551064326845,8394056,0,251.0,,8394056.0
89,0.0002572686938757997,5618240,0,251.0,,5618240.0
90,0.0002447513900861502,5907840,0,251.0,,5907840.0
91,0.00025470305013937323,5654440,0,251.0,,5654440.0
92,0.0002602769867167107,5527016,0,251.0,,5527016.0
93,0.0002840185437107358,5079584,0,251.0,,5079584.0
94,0.0002618282994188323,5503848,0,251.0,,5503848.0
95,0.00025427230683318353,5606656,0,251.0,,5606656.0
96,0.00025071318044602494,5752904,0,251.0,,5752904.0
97,0.0002575566345585854,5595072,0,251.0,,5595072.0
98,0.0002534309654491332,5618240,0,251.0,,5618240.0
99,0.0001977209505959766,7260272,0,251.0,,7260272.0
100,0.00023689405146295583,6026576,0,251.0,,6026576.0
101,0.00024040597399133167,6017888,0,251.0,,6017888.0
102,0.0002379852842508093,5999064,0,251.0,,5999064.0
103,0.00025992942639102904,5554528,0,251.0,,5554528.0
104,0.00026367340832868957,5409728,0,251.0,,5409728.0
105,0.00023683814428048652,6055536,0,251.0,,6055536.0
106,0.00025586374714726306,5650096,0,251.0,,5650096.0
107,0.0002417402624620074,5951280,0,251.0,,5951280.0
108,0.0002533776559883758,5618240,0,251.0,,5618240.0
109,0.00023226119628097744,6226400,0,251.0,,6226400.0
